filename,class,candidate_f0_Hz,harmonic_score,harmonics_found,machinery_category
15.wav,Cargo,93.75,1,[np.float64(93.75)],"Generator (tonal, 40-100 Hz)"
15.wav,Cargo,437.5,1,[np.float64(437.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
27.wav,Cargo,156.25,2,"[np.float64(156.25), np.float64(312.5)]","Pumps & Compressors (tonal, 100-300 Hz)"
27.wav,Cargo,312.5,1,[np.float64(312.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
38.wav,Cargo,62.5,2,"[np.float64(62.5), np.float64(312.5)]","Generator (tonal, 40-100 Hz)"
38.wav,Cargo,312.5,1,[np.float64(312.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
41.wav,Cargo,156.25,1,[np.float64(156.25)],"Pumps & Compressors (tonal, 100-300 Hz)"
41.wav,Cargo,343.75,1,[np.float64(343.75)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
44.wav,Cargo,62.5,2,"[np.float64(62.5), np.float64(250.0)]","Generator (tonal, 40-100 Hz)"
44.wav,Cargo,250.0,1,[np.float64(250.0)],"Pumps & Compressors (tonal, 100-300 Hz)"
69.wav,Cargo,187.5,1,[np.float64(187.5)],"Pumps & Compressors (tonal, 100-300 Hz)"
69.wav,Cargo,281.25,1,[np.float64(281.25)],"Pumps & Compressors (tonal, 100-300 Hz)"
78.wav,Cargo,93.75,2,"[np.float64(93.75), np.float64(468.75)]","Generator (tonal, 40-100 Hz)"
78.wav,Cargo,343.75,1,[np.float64(343.75)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
78.wav,Cargo,468.75,1,[np.float64(468.75)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
96.wav,Cargo,62.5,1,[np.float64(62.5)],"Generator (tonal, 40-100 Hz)"
96.wav,Cargo,156.25,1,[np.float64(156.25)],"Pumps & Compressors (tonal, 100-300 Hz)"
96.wav,Cargo,343.75,1,[np.float64(343.75)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
99.wav,Cargo,62.5,1,[np.float64(62.5)],"Generator (tonal, 40-100 Hz)"
1.wav,Passengership,62.5,1,[np.float64(62.5)],"Generator (tonal, 40-100 Hz)"
1.wav,Passengership,218.75,1,[np.float64(218.75)],"Pumps & Compressors (tonal, 100-300 Hz)"
4.wav,Passengership,93.75,1,[np.float64(93.75)],"Generator (tonal, 40-100 Hz)"
5.wav,Passengership,125.0,2,"[np.float64(125.0), np.float64(375.0)]","Pumps & Compressors (tonal, 100-300 Hz)"
5.wav,Passengership,281.25,1,[np.float64(281.25)],"Pumps & Compressors (tonal, 100-300 Hz)"
5.wav,Passengership,375.0,1,[np.float64(375.0)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
6.wav,Passengership,156.25,1,[np.float64(156.25)],"Pumps & Compressors (tonal, 100-300 Hz)"
6.wav,Passengership,250.0,1,[np.float64(250.0)],"Pumps & Compressors (tonal, 100-300 Hz)"
6.wav,Passengership,437.5,1,[np.float64(437.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
8.wav,Passengership,312.5,1,[np.float64(312.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
8.wav,Passengership,406.25,1,[np.float64(406.25)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
9.wav,Passengership,187.5,1,[np.float64(187.5)],"Pumps & Compressors (tonal, 100-300 Hz)"
9.wav,Passengership,281.25,1,[np.float64(281.25)],"Pumps & Compressors (tonal, 100-300 Hz)"
9.wav,Passengership,406.25,1,[np.float64(406.25)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
12.wav,Passengership,93.75,1,[np.float64(93.75)],"Generator (tonal, 40-100 Hz)"
12.wav,Passengership,312.5,1,[np.float64(312.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
12.wav,Passengership,437.5,1,[np.float64(437.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
14.wav,Passengership,62.5,2,"[np.float64(62.5), np.float64(312.5)]","Generator (tonal, 40-100 Hz)"
14.wav,Passengership,312.5,1,[np.float64(312.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
16.wav,Passengership,93.75,1,[np.float64(93.75)],"Generator (tonal, 40-100 Hz)"
17.wav,Passengership,62.5,1,[np.float64(62.5)],"Generator (tonal, 40-100 Hz)"
17.wav,Passengership,437.5,1,[np.float64(437.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
2.wav,Tanker,62.5,2,"[np.float64(62.5), np.float64(312.5)]","Generator (tonal, 40-100 Hz)"
2.wav,Tanker,156.25,2,"[np.float64(156.25), np.float64(312.5)]","Pumps & Compressors (tonal, 100-300 Hz)"
2.wav,Tanker,312.5,1,[np.float64(312.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
5.wav,Tanker,218.75,2,"[np.float64(218.75), np.float64(437.5)]","Pumps & Compressors (tonal, 100-300 Hz)"
5.wav,Tanker,437.5,1,[np.float64(437.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
6.wav,Tanker,62.5,1,[np.float64(62.5)],"Generator (tonal, 40-100 Hz)"
6.wav,Tanker,406.25,1,[np.float64(406.25)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
8.wav,Tanker,125.0,2,"[np.float64(125.0), np.float64(250.0)]","Pumps & Compressors (tonal, 100-300 Hz)"
8.wav,Tanker,250.0,1,[np.float64(250.0)],"Pumps & Compressors (tonal, 100-300 Hz)"
8.wav,Tanker,406.25,1,[np.float64(406.25)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
9.wav,Tanker,93.75,1,[np.float64(93.75)],"Generator (tonal, 40-100 Hz)"
9.wav,Tanker,250.0,1,[np.float64(250.0)],"Pumps & Compressors (tonal, 100-300 Hz)"
9.wav,Tanker,437.5,1,[np.float64(437.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
10.wav,Tanker,250.0,1,[np.float64(250.0)],"Pumps & Compressors (tonal, 100-300 Hz)"
10.wav,Tanker,343.75,1,[np.float64(343.75)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
10.wav,Tanker,437.5,1,[np.float64(437.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
12.wav,Tanker,125.0,1,[np.float64(125.0)],"Pumps & Compressors (tonal, 100-300 Hz)"
12.wav,Tanker,406.25,1,[np.float64(406.25)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
13.wav,Tanker,62.5,1,[np.float64(62.5)],"Generator (tonal, 40-100 Hz)"
14.wav,Tanker,93.75,1,[np.float64(93.75)],"Generator (tonal, 40-100 Hz)"
14.wav,Tanker,406.25,1,[np.float64(406.25)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
18.wav,Tanker,93.75,1,[np.float64(93.75)],"Generator (tonal, 40-100 Hz)"
18.wav,Tanker,343.75,1,[np.float64(343.75)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
18.wav,Tanker,437.5,1,[np.float64(437.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
9.wav,Tug,343.75,1,[np.float64(343.75)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
40.wav,Tug,93.75,1,[np.float64(93.75)],"Generator (tonal, 40-100 Hz)"
40.wav,Tug,312.5,1,[np.float64(312.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
40.wav,Tug,437.5,1,[np.float64(437.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
49.wav,Tug,156.25,1,[np.float64(156.25)],"Pumps & Compressors (tonal, 100-300 Hz)"
49.wav,Tug,437.5,1,[np.float64(437.5)],"Gearbox / Gear-mesh (tonal, 300-800 Hz)"
